Question,Answers
Can I get my refund in a different payment method?,"Refunds are processed to the original payment method only. For COD orders, refunds are issued via bank transfer or wallet credit."
Can I speed up my refund process?,"Refunds are processed as quickly as possible, typically within 5-7 business days. If it's delayed, please reach out to support."
My refund amount is incorrect. What should I do?,"If you received the wrong refund amount, please contact support with your order details, and we’ll correct it."
What if I accidentally enter the wrong bank details for a refund?,"Please contact support immediately. If the refund has already been processed, it may take longer to resolve."
What happens if I get charged but my order is not placed?,"If you were charged but the order failed, the amount will be refunded automatically within 5-7 business days."
How secure is my payment information?,We use bank-level encryption and PCI DSS compliance to protect your transactions. Your data is safe with us.
Can I use PhonePe for payment?,"Yes! We supports multiple payment methods, including PhonePe. You can choose your preferred option at checkout."
Does you accept UPI payments?,"Yes! We accept UPI payments via Google Pay, PhonePe, Paytm. Just select UPI at checkout and enter your UPI ID to complete the transaction."
How do I pay using Google Pay or PhonePe?,"At checkout, select UPI payment and enter your Google Pay or PhonePe UPI ID. You will receive a payment request in your app—just approve it, and you're done!"
Can I save my payment details for future orders?,"Yes! You can securely save your UPI ID, card details, or wallet information for faster checkouts in the future."
Is it safe to pay online?,Absolutely! We use secure payment gateways with encryption to keep your transactions safe and private.
Can I use  Google Pay or GPay for payment,Yes! You can use Google Pay (GPay) for your payment.
Can I pay using online methods.,Yes! We supports multiple online payment methods. You can choose your preferred option at checkout.
which credit and debit cards do you accept?,"Yes, we accept Visa, Mastercard, and RuPay debit/credit cards."
Can I pay using Paytm Wallet?,"Currently, we support Paytm UPI but not Paytm Wallet. You can use Paytm UPI to complete your payment."
Why can’t I see the COD option for my order?,"The Cash on Delivery (COD) option is only available for orders below ₹1000. If your order exceeds this amount, please use UPI, cards, or net banking to complete the payment."
Can I pay with a card at the time of delivery?,"Currently, we do not support card payments on delivery. If you prefer using a card, please complete the payment online before placing your order."
Do you accept digital wallets like Amazon Pay or Paytm Wallet?,"Currently, we support UPI transactions via PhonePe, Google Pay, and Paytm but do not accept digital wallets like Amazon Pay or Paytm Wallet."
Can I pay using EMI or Pay Later services?,"At the moment, we do not offer EMI or Pay Later options. However, you can use a credit card to complete your purchase."
Can I pay using an international credit/debit card?,"Currently, we only accept Indian-issued Visa, Mastercard, and RuPay cards. International cards are not supported."
Can I pay in foreign currency?,"No, we only accept payments in Indian Rupees (INR). If you're using an international card, your bank may convert the amount based on the exchange rate."
Do you accept Mastercard for payment?,"Yes, we accept Mastercard. You can complete your payment using Mastercard."
Do you accept Visa Credit or Debit Card for payment?,"Yes, we accept Visa Credit or Debit Cards. You can complete your payment using Visa Card."
Do you accept RuPay Cards for payment?,"Yes, we accept RuPay Credit or Debit Cards. You can complete your payment using RuPay Card."
Can I use Net Banking?,Yes! You can use Net Banking  to complete your payment.
